case_id,split,family,chain_limit,weight,budget,prefix_sum,final_cost,optimum_prefix_sum,total_recourse,max_request_recourse,cpu_seconds,wall_seconds
near_far_03,eval,near_far,1,0,2,21,6,21,0,0,0.0,0.00017449999722884968
near_far_03,eval,near_far,1,0,4,21,6,21,0,0,0.0,0.00017439999646740034
near_far_03,eval,near_far,1,1/2,1,21,6,21,0,0,0.0,0.0001875000016298145
near_far_03,eval,near_far,1,1/2,2,21,6,21,0,0,0.0,0.0001680999994277954
near_far_03,eval,near_far,1,1/2,4,21,6,21,0,0,0.0,0.00017279999883612618
near_far_03,eval,near_far,5,0,1,21,6,21,0,0,0.015625,0.004346800000348594
near_far_03,eval,near_far,5,0,2,21,6,21,0,0,0.0,0.0037728000024799258
near_far_03,eval,near_far,5,0,4,21,6,21,0,0,0.0,0.005153900005097967
near_far_03,eval,near_far,5,1/2,1,21,6,21,0,0,0.0,0.004146800005401019
near_far_03,eval,near_far,5,1/2,2,21,6,21,0,0,0.015625,0.003937599998607766
near_far_03,eval,near_far,5,1/2,4,21,6,21,0,0,0.0,0.004283099995518569
near_far_04,eval,near_far,1,0,1,21,6,21,0,0,0.0,0.00017289999959757552
near_far_04,eval,near_far,1,0,2,21,6,21,0,0,0.0,0.00015160000475589186
near_far_04,eval,near_far,1,0,4,21,6,21,0,0,0.0,0.0001475000026402995
near_far_04,eval,near_far,1,1/2,1,21,6,21,0,0,0.0,0.00017579999985173345
near_far_04,eval,near_far,1,1/2,2,21,6,21,0,0,0.0,0.000152299995534122
near_far_04,eval,near_far,1,1/2,4,21,6,21,0,0,0.0,0.0001584999990882352
near_far_04,eval,near_far,5,0,1,21,6,21,0,0,0.0,0.003843799997412134
near_far_04,eval,near_far,5,0,2,21,6,21,0,0,0.015625,0.0035509000008460134
near_far_04,eval,near_far,5,0,4,21,6,21,0,0,0.0,0.00379590000375174
near_far_04,eval,near_far,5,1/2,1,21,6,21,0,0,0.0,0.005513500000233762
near_far_04,eval,near_far,5,1/2,2,21,6,21,0,0,0.015625,0.004184600002190564
near_far_04,eval,near_far,5,1/2,4,21,6,21,0,0,0.0,0.005779600003734231
near_far_05,eval,near_far,1,0,1,21,6,21,0,0,0.0,0.00019639999663922936
near_far_05,eval,near_far,1,0,2,21,6,21,0,0,0.0,0.00017099999968195334
near_far_05,eval,near_far,1,0,4,21,6,21,0,0,0.0,0.0001657999964663759
near_far_05,eval,near_far,1,1/2,1,21,6,21,0,0,0.0,0.00016239999968092889
near_far_05,eval,near_far,1,1/2,2,21,6,21,0,0,0.0,0.00016090000281110406
near_far_05,eval,near_far,1,1/2,4,21,6,21,0,0,0.0,0.00015939999866532162
near_far_05,eval,near_far,5,0,1,21,6,21,0,0,0.0,0.00443029999587452
